150
20 774
15 0 434
2 193 435
45 3 435
74 0 358
67 0 363
6 75 435
72 152 426
10 0 422
31 30 435
71 239 435
37 133 435
38 24 435
7 24 435
26 0 278
39 151 435
8 108 435
36 292 435
23 141 435
30 0 290
63 0 308
45 268
19 0 217
24 0 181
26 11 112
56 72 268
12 29 268
10 0 117
5 79 171
33 0 104
27 0 252
58 0 107
20 0 120
66 116 261
22 17 268
65 0 249
66 0 67
1 0 200
14 0 231
70 44 112
62 75 268
45 83 189
50 40 268
39 0 268
58 149 268
4 0 191
2 66 241
63 30 243
72 0 265
13 0 254
52 0 195
30 38 112
36 146 234
46 58 268
75 0 205
9 39 268
68 191 268
17 139 246
43 0 115
7 0 236
18 0 131
74 132 268
44 0 215
49 0 257
31 0 211
35 0 155
73 98 181
2 4
0 0 3
1 1 4
31 952
33 321 952
36 100 952
19 0 733
23 0 874
40 206 952
5 0 346
47 101 952
0 0 773
52 0 622
43 538 952
11 0 935
53 228 771
3 73 952
37 41 575
24 398 952
44 0 631
28 0 822
29 0 566
20 37 760
38 0 881
50 112 952
22 0 836
45 674 952
43 0 520
16 0 843
32 0 952
48 0 913
39 0 747
14 254 952
51 456 952
18 400 764
50 861
115 0 742
110 0 708
7 32 861
35 0 783
136 73 861
100 0 397
64 0 749
57 226 861
53 549 861
77 349 861
45 0 467
98 0 502
38 0 615
30 0 765
53 0 475
15 0 656
59 0 825
124 0 558
104 0 612
23 405 861
52 86 861
120 0 662
114 0 850
0 0 577
12 0 669
93 0 668
21 345 861
72 69 861
5 0 756
9 0 764
78 183 861
88 0 486
17 653 861
81 3 861
44 19 861
33 0 729
13 0 856
47 0 806
122 0 861
61 0 412
19 74 861
70 0 623
24 99 347
101 257 579
1 0 493
62 0 841
133 271 861
3 190 861
16 361 861
27 319 861
10 391
16 0 208
9 177 391
20 10 391
5 13 354
3 0 347
25 47 391
11 203 332
26 0 350
1 43 391
29 183 333
30 383
122 128 383
5 8 383
112 0 367
49 11 383
32 223 383
108 0 260
8 202 314
89 0 244
61 0 188
78 0 129
0 0 264
80 22 383
15 103 383
123 0 378
52 122 383
107 20 383
113 0 227
72 36 383
83 92 336
1 85 383
85 0 348
77 9 209
59 0 378
127 0 218
7 0 366
50 181 274
64 130 383
75 0 304
38 0 332
46 54 383
1 1
0 0 1
50 99629
100000 33578 99629
93968 58008 99629
7777 61870 99629
63063 0 97400
49423 0 88597
62415 0 75824
10072 0 56236
62713 0 24174
85176 0 67480
6616 18900 99629
76738 0 51095
57889 26965 99629
38741 20514 99629
70183 81 55049
10602 15490 83959
57447 5268 34357
54944 44803 99629
4636 8185 60844
64296 13420 99629
44812 0 94407
77498 10027 99629
67244 21994 79214
1358 0 37130
27065 0 58248
9235 0 97386
34017 30123 99629
56623 16271 93391
37431 29027 99629
80162 0 63839
24606 0 65291
82671 12616 99629
97632 10606 99629
44487 7651 85687
16618 0 53003
93589 50440 99629
9665 63272 99629
59069 0 90143
54268 0 48718
55186 16785 99629
42975 11523 99629
29368 65377 99629
9458 37811 99629
80076 28844 63130
40271 0 55631
56686 45484 86363
43977 0 65067
4344 35718 89107
28882 0 51635
15018 4056 99629
30523 0 58753
1 709
62 235 709
1 1
1 0 1
32 208
55 0 174
7 0 206
80 0 97
2 48 208
22 0 146
38 0 123
18 6 208
47 15 208
5 42 152
62 0 84
14 68 120
23 0 198
81 0 155
51 36 208
79 0 109
58 0 201
72 50 208
4 0 113
43 0 161
52 8 208
71 0 103
1 11 208
26 0 137
56 26 208
30 94 148
40 0 114
30 0 69
6 51 208
0 0 156
54 0 135
25 0 138
62 110 168
5 752
84 0 426
23 0 381
2 332 554
41 96 752
62 374 752
2 474
25 0 436
85 141 474
17 335
97 70 335
104 0 157
18 88 301
37 65 217
91 132 270
88 137 335
30 0 330
17 16 335
8 0 276
55 11 335
83 0 270
102 0 229
58 0 316
75 0 183
7 0 198
92 0 263
36 0 313
41 963
12 676 963
15 112 610
69 354 963
3 159 963
1 88 418
4 0 833
24 380 728
63 480 744
38 272 963
61 271 870
24 36 347
55 118 963
47 330 963
71 0 739
18 32 737
14 0 839
48 0 963
9 0 518
57 354 886
11 0 963
35 0 833
20 79 963
45 645 922
41 201 963
29 157 963
60 0 518
59 180 963
32 280 963
31 0 810
64 34 963
36 101 956
5 0 472
68 0 459
37 89 963
51 0 920
40 0 658
65 0 617
8 138 886
23 0 877
19 0 855
58 97 963
44 828
14 0 742
21 0 517
57 8 828
48 488 764
62 0 352
115 251 828
1 0 510
38 113 828
67 464 828
118 0 812
71 67 315
20 563 828
94 0 670
3 435 828
10 409 828
80 0 580
42 0 767
100 494 828
96 507 828
68 0 402
76 298 662
63 173 828
98 0 603
110 67 385
116 190 828
69 0 561
54 263 828
12 0 563
43 52 828
55 0 307
11 88 828
87 183 828
120 219 828
52 219 828
6 218 558
37 0 656
53 455 828
101 368 828
97 49 828
28 219 828
108 0 337
113 0 767
89 0 705
41 0 442
27 650
98 193 650
60 0 325
73 0 358
12 0 548
81 0 414
22 320 650
53 199 474
90 0 612
27 242 650
66 0 495
13 0 648
9 104 598
91 437 650
68 51 650
103 8 650
21 95 650
49 0 315
104 501 644
83 0 377
99 0 558
56 0 628
72 0 190
41 350 650
28 437 648
1 355 650
95 0 510
32 170 650
39 961
72 114 961
97 0 780
124 341 961
42 23 961
70 238 961
119 76 961
87 65 431
4 0 727
75 0 616
129 149 961
106 699 961
87 607 820
31 0 751
125 0 871
6 718 961
69 198 451
93 561 961
79 0 372
84 366 961
86 0 683
2 0 624
113 113 886
99 0 955
100 0 839
80 8 589
62 0 851
71 0 446
116 0 330
73 0 450
32 686 961
85 357 961
49 0 535
110 0 877
61 281 961
103 0 729
121 303 961
21 22 961
68 413 961
29 102 961
36 673
45 165 673
0 348 673
90 0 611
12 0 512
41 0 622
85 0 469
77 192 673
42 528 673
44 0 451
7 0 425
88 0 412
47 162 673
13 0 587
24 0 400
30 0 622
51 233 387
73 94 489
65 6 606
67 27 673
9 0 606
94 0 331
81 0 533
